Angriff;20;19;18;17;16;15;14;13;12;11;10;9;8;7;6;5;4;3;2;1
01-02;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F
03-30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31-33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34-36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37-39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40-42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43-45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46-48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49-51;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52-54;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
55-57;1A;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
58-60;1A;1A;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
61-63;1A;1A;1A;1;1A;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0
64-66;1A;1A;1A;1A;1A;1A;1;0;1;1;0;0;1;0;0;0;0;0;0;0
67-69;1A;1A;1A;1A;1A;1A;1;1;1A;1;0;0;1A;1;0;0;0;0;0;0
70-72;1A;1A;1A;2A;2A;1A;1A;1;1A;1A;1;0;1A;1;0;0;0;0;0;0
73-75;1A;2A;2A;2A;2A;2A;1A;1A;1A;1A;1;1;2A;1A;1;0;0;0;0;0
76-78;1A;2A;2A;2A;2A;2A;2A;2A;1A;1A;1A;1;2A;2A;1;1;0;0;0;0
79-81;1A;2A;2A;2A;2A;2A;2A;2A;1A;2A;2A;1A;2A;2A;1A;1;0;0;0;0
82-84;2A;2A;2A;3A;3A;2A;2A;2A;1A;2A;2A;2A;3A;2A;2A;1A;0;0;0;0
85-87;2A;2A;3A;3A;3A;3A;3A;3A;2A;2A;2A;2A;3A;3A;2A;2A;0;0;0;0
88-90;2A;2A;3A;3A;3A;3A;3A;3A;2A;2A;3A;3A;3A;3A;3A;2A;1;0;1;0
91-93;2B;3B;3B;3B;3B;3B;3A;3A;2B;2A;3A;3A;4B;3A;3A;3A;1;1;1A;0
94-96;2B;3B;3B;4B;3B;3B;3A;4A;2B;3A;3A;3A;4B;4A;3A;3A;1A;1;2A;1
97-99;2B;3B;4B;4B;4B;4B;4A;4A;2B;3A;4A;4A;4B;4A;4A;4A;2A;1A;2A;1
100-102;2B;3B;4B;4B;4B;4B;4A;4A;2B;3A;4A;4A;5B;4A;4A;4A;2A;2A;3A;2A
103-105;2B;3B;4B;5B;4B;4B;4B;5B;2B;3B;4B;5B;5B;5B;5B;5B;3A;2A;3A;2A
Maximum Results for Rank 1 Attacks;;;;;;;;;;;;;;;;;;;;
106-108;2C;3C;4C;5C;4C;4C;5B;5B;3C;4B;5B;5B;5C;5B;5B;5B;3A;3A;4A;3A
109-111;2C;3C;4C;5C;5C;4C;5B;5B;3C;4B;5B;5B;5C;5B;5B;6B;3A;3A;4A;4A
112-114;2C;4C;5C;5C;5C;5C;5B;6B;3C;4B;5B;6B;6C;6B;6B;6B;4A;4A;5A;4A
115-117;3C;4C;5C;6C;5C;5C;5C;6C;3C;4C;6C;6C;6C;6C;6C;6C;4B;4B;5B;5B
118-120;3C;4C;5C;6C;5C;5C;6C;6C;3C;4C;6C;7C;6C;6C;7C;7C;5B;5B;6B;5B
Maximum Results for Rank 2 Attacks;;;;;;;;;;;;;;;;;;;;
121-123;3D;4D;5D;6D;5D;5D;6C;7C;3D;5C;6C;7C;7D;7C;7C;7C;5B;5B;7B;6B
124-126;3D;4D;6D;6D;6D;6D;6C;7C;3D;5C;7C;7C;7D;7C;7C;8C;5C;6C;7C;7C
127-129;3D;4D;6D;7D;6D;6D;7D;7D;4D;5D;7D;8D;7D;7D;8D;8D;6C;6C;8C;7C
130-132;3D;5D;6D;7D;6D;6D;7D;8D;4D;5D;7D;8D;8D;8D;8D;9D;6C;7C;8C;8C
133-135;3D;5D;6D;7D;6D;6D;7D;8D;4D;5D;8D;9D;8D;8D;9D;9D;7D;7D;9D;8D
Maximum Results for Rank 3 Attacks;;;;;;;;;;;;;;;;;;;;
136-138;3E;5E;7E;7E;7E;7E;7D;8D;4E;6D;8D;9D;8E;8D;9D;10D;7D;8D;9D;9D
139-141;3E;5E;7E;8E;7E;7E;8E;9E;4E;6E;8E;9E;9E;9E;9E;10E;7D;8D;10D;10D
142-144;3E;5E;7E;8E;7E;8E;8E;9E;4E;6E;9E;10E;9E;9E;10E;11E;8E;9E;10E;10E
145-147;3E;5E;7E;8E;7E;7E;8E;9E;4E;6E;9E;10E;9E;9E;10E;11E;8E;9E;11E;11E
148-150;4E;6E;8E;9E;8E;8E;9E;10E;5E;7E;10E;11E;10E;11E;12E;12E;9E;10E;12E;12E
Maximum Results for Rank 4 Attacks;;;;;;;;;;;;;;;;;;;;
