Angriff;20;19;18;17;16;15;14;13;12;11;10;9;8;7;6;5;4;3;2;1
01-02;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F
03-30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31-33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34-36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37-39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40-42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43-45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46-48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49-51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
52-54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
55-57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;3AT
58-60;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;1;3;4BT
61-63;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;3;0;2;4AT;5CT
64-66;0;0;0;2;0;0;0;1;0;0;0;2;0;0;2;4AT;0;3;5BT;6DT
67-69;0;0;1;3;0;0;1;1;0;0;1;3;0;0;3;5BT;1;4;6CT;7AP
70-72;0;0;1;4;0;0;1;2;0;0;1;4;1;0;4AT;6CT;2;5;7DT;8AP
73-75;0;0;2;5;1;1;2;3;0;0;2;5AT;1;1;5BT;7DT;3;6AT;8AP;9AP
76-78;0;0;2;6;1;1;3;4;0;1;3;6BT;2;1;6CT;8AP;4;7BT;9AP;10AP
79-81;0;1;4;6;2;2;4;5AT;0;1;4;7CT;3;2AT;7DT;9AP;5AT;8CT;10AP;11AP
82-84;0;1;5;7;3;3;5;6BT;1;2;5AT;8DT;4AT;3BT;8AP;10AP;6BT;9DT;11AP;12AP
85-87;0;2;5;8;4;4;6AT;7CT;1;3AT;6BT;9AP;5BT;4CT;9AP;11AP;7CT;10AP;12AP;13AP
88-90;1;3;6AT;9AT;5;5;6BT;8DT;2;4BT;7CT;10AP;5CT;5DT;10AP;12AP;8DT;11AP;13AP;14AP
91-93;1;4AT;7BT;10BT;6;6;7CT;9AP;3AT;5CT;8DT;11AP;6DT;6AP;11AP;13AP;9AP;12AP;14AP;15BP
94-96;2;5BT;8CT;11CT;6AT;6AT;8DT;10AP;4BT;6DT;9AP;12AP;7AP;7AP;12AP;14AP;10AP;13AP;15BP;16BP
97-99;3;5CT;9DT;11DT;7BT;7BT;9AP;11AP;5CT;7AP;9AP;13AP;8AP;8AP;13AP;15BP;11AP;14AP;16BP;17BP
100-102;4AT;6DT;9AP;12AP;8CT;8CT;10AP;12AP;6DT;8AP;10AP;14BP;9AP;9BP;14BP;16BP;12AP;15AP;17BP;18BP
103-105;5BT;7AU;10AP;13AP;9DT;9DT;11AP;13BP;7AP;9AP;11AP;15BP;9AP;10AP;15BP;17BP;13AP;16AP;18BP;19BP
Maximum Results for Small Attacks;;;;;;;;;;;;;;;;;;;;
106-108;6CT;8AK;11AP;14AP;10AP;10AP;12AP;14AP;7AP;10AP;12AP;16BP;10AP;11BP;16BP;18CP;14AP;17BP;19BP;20CP
109-111;6DT;9AP;12AP;15AP;11AP;11AP;12AP;14BP;8AP;11AP;13BP;17CP;11AP;12BP;17BP;19CP;15AP;18BP;20CP;21DP
112-114;7AU;10AU;13AP;16BP;11AP;11AP;13BP;15CP;9AP;12AP;14BP;18CP;12BP;13BP;18CP;20CP;16BP;19BP;21CP;22DP
115-117;8AK;10AK;14AK;16BK;12AP;12AP;14BP;16CP;10AP;12BP;15BP;19CP;13BP;14BP;19CP;21CP;17BP;20CP;22DP;23DP
118-120;9AP;11BP;14BP;17BP;13AP;13AP;15BP;17CP;11BP;13BP;16CP;20CP;13BP;15CP;20CP;22DP;18CP;21CP;23DP;24DK
Maximum Results for Medium Attacks;;;;;;;;;;;;;;;;;;;;
121-123;10AU;12BU;15BK;18CK;14AP;14BP;16BP;18CP;12BP;14BP;17CP;21DK;14CP;16CP;21CK;23DK;19CK;22CK;24DP;25DP
124-126;11AK;13BK;16BP;19CP;15BP;15BP;17CP;19DP;13BP;15BP;17CP;22DP;15CP;17CP;22DP;24DP;20DP;23DP;25DK;26EK
127-129;12AP;14BP;17CK;20CK;16BP;16BP;18CK;20DK;13BP;16CK;18DK;23DK;16CK;18CK;23DK;25DK;21DK;24DK;26EP;27EP
130-132;12BU;15CU;18CP;21DP;16BK;16CK;18CP;21DP;14CP;17CP;19DP;24DP;17DP;19DP;24DP;26EP;22DP;25DP;27EU;28EU
133-135;13BK;15CK;18CK;21DK;17CK;17CP;19CK;22DK;15CK;18CK;20DK;25DK;17DK;20DK;25DK;27EK;23DK;26DK;28EK;29EK
Maximum Results for Large Attacks;;;;;;;;;;;;;;;;;;;;
136-138;14BP;16CP;19CP;22DP;18CK;18CK;20CP;23EP;16CP;19DP;21DP;26EP;18DP;21DP;26EP;28EP;24EP;27EP;29EP;30EP
139-141;15CU;17DU;20DU;23EU;19CP;19DP;21DU;24EU;17DU;20DU;22EU;27EU;19EU;22EU;27EU;29EU;25EU;28EU;30EU;31EU
142-144;16CK;18DK;21DK;24EK;20DK;20DK;22DK;25EK;18DK;21DK;23EK;28EK;20EK;23EK;28EK;30EK;26EK;29EK;31EK;32EK
145-147;17DP;19EP;22EP;25EP;21DP;21DP;23EP;26EP;19EP;22EP;24EP;29EP;21EP;24EP;29EP;31EP;27EP;30EP;32EP;33EP
