Angriff;20;19;18;17;16;15;14;13;12;11;10;9;8;7;6;5;4;3;2;1
01-02;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F
03-30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31-33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34-36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37-39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40-42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43-45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46-48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
49-51;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1
52-54;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;2
55-57;0;0;0;1;0;0;0;1;0;0;1;2;0;0;1;2;0;1;2;2
58-60;0;0;0;2;0;0;0;1;0;0;1;2;0;0;1;2;0;1;2;3
61-63;0;0;1;2;0;0;1;2;0;0;1;3;1;1;2;3;1;1;3;3
64-66;0;1;1;3;1;1;1;2;0;0;2;3;1;1;2;3;1;2;3;4
67-69;1AU;1;1;3;1;1;2;3;0;1;2;4;1;1;3;4;1;2;4;4
70-72;1AU;1AU;2;4;1AU;1;2;3;1;1;3;4;2;2;3;4;2;3;4;5
73-75;1AU;2AU;2AU;4;2AU;2AU;3;4;1AU;1;3;5;2;2;4;5;2;3;5;6
76-78;2AU;2AU;3AU;5AU;2AU;2AU;3;4;1AU;2AU;4;5;3AU;3;4;5;3;4;5;6
79-81;2AU;2AU;3AU;5AU;3AU;3AU;4AU;5;2AU;2AU;4;6;3AU;3;5;6;3;4;6;7
82-84;2AU;3AU;4AU;6AU;3AU;3AU;4AU;5AU;2AU;3AU;5AU;6;4AU;4AU;5;7;4;5;7;7
85-87;3AU;3AU;4AU;6AU;4AU;4AU;5AU;6AU;2AU;3AU;5AU;7AU;4AU;4AU;6;7;4;5;7AK;8
88-90;3AU;4AU;5AU;7AU;4AU;4AU;5AU;7AU;3AU;4AU;6AU;7AU;5AU;5AU;6AU;8;5AK;5;8AU;8
91-93;3AU;4AU;5AU;7AK;5AU;5AU;6AU;7AK;3AU;4AU;6AU;8AU;5AU;5AU;7AU;8AK;5AK;6AK;8AK;9
94-96;4AU;4AU;6AU;8AU;5AU;5AU;6AU;8AU;4AU;5AU;7AU;8AU;5AU;6AU;7AU;9AU;6AU;6AU;9AU;9AK
97-99;4AU;5AU;6AU;8AK;6AU;6AU;7AU;8AK;4AU;5AU;7AU;9AK;6AU;6AU;8AK;9AK;6AK;7AK;9AK;10AK
100-102;4AU;5AU;7AU;9BU;6AU;6AU;7AU;9AU;4AU;5AU;8AU;9AU;6AU;7AU;8AU;10AU;7AU;7AU;10AU;11AU
103-105;5AU;6AU;7AK;9BK;7AU;7AU;8AK;9AK;5AU;6AU;8AU;10AK;7AK;7AU;9AK;10AK;7AK;8AK;10AK;11AK
Maximum Results for Small Attacks;;;;;;;;;;;;;;;;;;;;
106-108;5BU;6BU;8BU;10BU;7AU;7AU;8AU;10BU;5BU;6BU;9AU;10AU;7BU;8AU;9AU;11AU;8AU;8AU;11AU;12AU
109-111;5BU;6BU;8BK;10BK;7BU;7BU;9BK;10BK;6BU;7BU;9BK;11BK;8BK;8AK;10AK;11AK;8AK;9AK;11BK;12AK
112-114;6BU;7BU;9BU;11CU;8BU;8BU;9BU;11BU;6BU;7BU;10BU;11BU;8BU;9BU;10BU;12BU;9BU;9BU;12BU;13AU
115-117;6BU;7BK;9BK;11CK;8BK;8BK;10BK;11CK;6BU;8BU;10BK;12CK;9BK;9BK;11BK;13BK;9BK;10BK;13CK;13BK
118-120;6BU;8BU;10BU;12CU;9BU;9BU;10BU;12CU;7BU;8BU;11CU;12CU;9CU;10BU;11BU;13CU;10BU;10BU;13CU;14BU
Maximum Results for Medium Attacks;;;;;;;;;;;;;;;;;;;;
121-123;7BU;8BK;10CK;12CK;9BK;9BK;11CK;13CK;7BU;9BK;11CK;13CK;9CK;10CK;12CK;14CK;10CK;10CK;14CK;14CK
124-126;7BU;8CU;11CU;13DU;10BU;10CU;11CU;13CU;7CU;9CU;12CU;13CU;10CU;11CU;12CU;14CU;11CU;11CU;14DU;15CU
127-129;7CU;9CK;11CK;13DK;10CK;10CK;12CK;14DK;8CU;9CK;12DK;14DK;10CK;11CK;13CK;15DK;11CK;11CK;15DK;16DK
