Angriff;20;19;18;17;16;15;14;13;12;11;10;9;8;7;6;5;4;3;2;1
01-02;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F
03-30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31-33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34-36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37-39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40-42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
43-45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
46-48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
49-51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
52-54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2
55-57;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;1;1;2;2AT
58-60;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;1;1;2AT;2AT
61-63;0;0;0;1;0;0;0;1;0;0;0;1;1;1;1;2;1;2;2AT;3AT
64-66;0;0;1;1;0;0;1;1;0;0;1;2;1;1;1;2;2;2;3AT;3AT
67-69;0;0;1;2;0;0;1;2;0;0;1;2;1;1;1;2;2;2AT;3AT;3AT
70-72;0;0;1;2;0;0;1;2;0;0;1;2;1;1;2;3;2;3AT;3AT;4AT
73-75;0;0;1;2;0;1;1;2;0;0;1;3;1;1;2;3AT;2;3AT;4AT;4AT
76-78;0;0;2;3;1;1;2;3;0;0;2;3;2;2;2;3AT;3;3AT;4AT;4BT
79-81;0;1;2;3;1;1;2;3AT;0;0;2;3AT;2;2;3AT;4AT;3AT;4AT;4BT;4BT
82-84;0;1;2;3AT;1;1;2;3AT;0;1;2;4AT;2;2;3AT;4AT;3AT;4AT;5BT;5BT
85-87;0;1;2;3AT;1;1;3;4AT;0;1;3AT;4AT;2;2AT;3AT;4AT;4AT;4AT;5BT;5BT
88-90;0;1;3;4AT;1;2;3AT;4AT;1;1AT;3AT;4AT;2AT;2AT;4AT;5AT;4AT;4BT;5BT;5CT
91-93;0;1;3AT;4AT;2;2;3AT;4AT;1;1AT;3AT;5AT;3AT;3AT;4AT;5BT;4AT;5BT;6CT;6CT
94-96;1;2;3AT;4AT;2;2;3AT;5BT;1;2AT;4AT;5AT;3AT;3AT;4AT;5BT;4AT;5BT;6CT;6CT
97-99;1;2AT;3AT;5AT;2AT;2AT;4AT;5BT;1;2AT;4AT;5BT;3AT;3AT;5BT;6BT;5AT;5BT;6CT;6CT
100-102;1;2AT;4AT;5BT;2AT;2AT;4AT;5BT;1AT;2AT;4AT;6BT;3AT;3AT;5BT;6BT;5BT;6BT;6CT;7CT
103-105;1AT;2AT;4AT;5BT;2AT;3AT;4AT;6BT;2AT;2AT;5BT;6BT;3AT;3AT;5BT;6CT;5BT;6CT;7CT;7CT
Maximum Results for Small Attacks;;;;;;;;;;;;;;;;;;;;
106-108;1AT;2AT;4AT;5BT;3AT;3AT;5AT;6CT;2AT;3AT;5BT;7CT;4AT;4BT;6BT;7CT;6BT;6CT;7CT;7DT
109-111;1AT;3AT;4AT;6BT;3AT;3AT;5BT;6CT;2AT;3BT;5BT;7CT;4BT;4BT;6CT;7CT;6BT;7CT;7DT;8DT
112-114;2AT;3AT;5BT;6CT;3AT;3AT;5BT;7CT;2AT;3BT;6BT;7CT;4BT;4BT;6CT;7CT;6CT;7CT;8DT;8DT
115-117;2AT;3AT;5BT;6CT;3AT;3AT;5BT;7CT;2AT;4BT;6CT;8CT;4BT;4CT;7CT;8CT;6CT;7CT;8DT;8DT
118-120;2AT;3BT;5BT;7CT;3BT;4BT;6BT;7CT;3AT;4BT;6CT;8CT;4CT;4CT;7CT;8DT;7CT;7DT;8DT;8DT
Maximum Results for Medium Attacks;;;;;;;;;;;;;;;;;;;;
121-123;2AT;4BT;5BT;7CT;4BT;4BT;6CT;8DT;3BT;4BT;7CT;8DT;5CT;5CT;7DT;8DT;7CT;8DT;9DT;9ET
124-126;2AT;4BT;6CT;7DT;4BT;4BT;6CT;8DT;3BT;4CT;7CT;9DT;5CT;5CT;8DT;9DT;7DT;8DT;9ET;9ET
127-129;2BT;4BT;6CT;7DT;4BT;4BT;7CT;8DT;3BT;5CT;7DT;9DT;5CT;5CT;8DT;9DT;8DT;8DT;9ET;9AP
130-132;3BT;4BT;6CT;8DT;4CT;4CT;7CT;9DT;3BT;5CT;8DT;9DT;5DT;5DT;8DT;9ET;8ET;9DT;10AP;10AP
