Angriff;20;19;18;17;16;15;14;13;12;11;10;9;8;7;6;5;4;3;2;1
01-02;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F
03-30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31-33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
34-36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
37-39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3
40-42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2AT;4AT
43-45;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;1;3BT;5BT
46-48;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;3;0;1;4CT;6CT
49-51;0;0;0;1;0;0;1;1;0;0;0;2;0;0;1;4AT;1;2;5DT;7DT
52-54;0;0;0;1;0;0;1;2;0;0;0;3;0;0;2;5BT;1;3;6ET;8ET
55-57;0;0;1;2;0;1;2;3;0;0;1;4;1;1;3;6CT;2;4AT;7AK;9AK
58-60;0;0;1;3;1;1;2;4;0;0;1;5;1;2;4AT;7DT;3;5BT;8AK;10AK
61-63;0;0;2;4;1;2;3;4AT;0;0;2;6;2;3AT;5BT;8ET;4AT;6CT;9AK;11AK
64-66;0;0;2;4;2;2;4;5BT;0;1;3;7AT;3AT;4BT;6CT;9AK;5BT;7DT;10AK;12AK
67-69;0;1;3;5;2;3;4;6CT;0;1;3;7BT;4BT;5CT;7DT;10AK;6CT;8ET;11AK;13AK
70-72;0;1;4;6AT;3;3;5AT;7DT;1;2;4;8CT;5CT;6DT;8ET;11AK;7DT;9AK;12AK;14AK
73-75;0;2;4;7BT;3;4;6BT;8ET;1;2;5AT;9DT;6DT;7ET;9AK;12AK;8ET;10AK;13AK;15AK
76-78;0;2;5;7CT;4;4;6CT;8AK;2;3;6BT;10ET;7ET;8AK;10AK;13AK;9AK;11AK;14BK;16BK
79-81;1;3;5AT;8DT;4;5AT;7DT;9AK;2;4;6CT;11AK;8AK;9AK;11AK;14AK;10AK;11AK;15BK;17BK
82-84;1;4AT;6BT;9ET;5AT;5BT;8ET;10AK;3;4AT;7DT;12AK;9AK;10AK;12AK;15BK;11AK;12AK;16BK;18BK
85-87;2;4BT;7CT;10AK;6BT;6CT;8AK;11AK;3;5BT;8ET;13AK;10AK;11AK;13AK;16BK;11AK;13AK;17BK;19BK
88-90;2;5CT;7DT;10AK;6CT;7DT;9AK;12AK;4AT;6CT;9AK;13AK;11AK;12AK;14BK;17BK;12AK;14BK;18BK;20BK
91-93;3AT;6DT;8ET;11AK;7DT;7ET;9AK;12AK;5BT;6DT;9AK;14AK;12AK;13AK;15BK;18BK;13AK;15BK;19BK;21BK
94-96;4BT;6ET;8AK;12AK;7ET;8AK;10AK;13BK;5CT;7ET;10AK;15BK;13AK;14BK;16BK;19BK;14BK;16BK;20BK;22CK
97-99;4CT;7AK;9AK;13AK;8AK;8AK;11AK;14BK;6DT;8AK;11AK;16BK;14AK;15BK;17BK;20CK;15BK;17BK;21CK;23CK
100-102;5DT;7AK;10AK;13BK;8AK;9AK;11AK;15BK;6ET;8AK;12AK;17CK;15BK;16BK;18CK;21CK;16BK;18CK;22CK;24CK
103-105;5ET;8AK;10AK;14BK;9AK;9AK;12BK;16CK;7AK;9AK;12BK;18CK;15BK;17BK;19CK;22CK;17BK;19CK;23CK;25CK
Maximum Results for Small Attacks;;;;;;;;;;;;;;;;;;;;
106-108;6AK;9AK;11AK;15BK;10AK;10AK;13BK;16CK;7AK;10AK;13BK;19CK;16BK;18CK;20CK;23CK;18CK;20CK;24CK;26CK
109-111;7AK;9AK;12BK;16CK;10AK;10BK;13BK;17CK;8AK;10AK;14BK;19CK;17BK;19CK;21CK;24CK;19CK;21CK;25CK;27CK
112-114;7AK;10AK;12BK;16CK;11AK;11BK;14BK;18CK;9AK;11BK;15CK;20CK;18CK;20CK;22CK;25CK;20CK;22CK;26CK;28CK
115-117;8AK;11BK;13BK;17CK;11BK;11BK;15CK;19CK;9AK;11BK;15CK;21CK;19CK;21CK;23CK;26CK;21CK;22CK;27CK;29CK
118-120;8AK;11BK;13BK;18CK;12BK;12BK;15CK;20CK;10BK;12BK;16CK;22CK;20CK;22CK;24CK;27CK;21CK;23CK;28CK;30CK
Maximum Results for Medium Attacks;;;;;;;;;;;;;;;;;;;;
121-123;9BK;12BK;14CK;19CK;12BK;13BK;16CK;20CK;10BK;13BK;17CK;23DK;21CK;23CK;25DK;28DK;22CK;24DK;29DK;31DK
